Match ID,Team,Champion,Type,Order
53600,Gen.G eSports,Neeko,Ban,1
53600,Bilibili Gaming,Rakan,Ban,2
53600,Gen.G eSports,Renekton,Ban,3
53600,Bilibili Gaming,Maokai,Ban,4
53600,Gen.G eSports,Xayah,Ban,5
53600,Bilibili Gaming,Sylas,Ban,6
53600,Gen.G eSports,Jax,Pick,7
53600,Bilibili Gaming,Aatrox,Pick,8
53600,Bilibili Gaming,Jarvan IV,Pick,9
53600,Gen.G eSports,Rell,Pick,10
53600,Gen.G eSports,Azir,Pick,11
53600,Bilibili Gaming,Orianna,Pick,12
53600,Bilibili Gaming,Poppy,Ban,13
53600,Gen.G eSports,Rumble,Ban,14
53600,Bilibili Gaming,Sejuani,Ban,15
53600,Gen.G eSports,KSante,Ban,16
53600,Bilibili Gaming,Kalista,Pick,17
53600,Gen.G eSports,Aphelios,Pick,18
53600,Gen.G eSports,Tahm Kench,Pick,19
53600,Bilibili Gaming,Renata Glasc,Pick,20
53601,Bilibili Gaming,Sylas,Ban,1
53601,Gen.G eSports,Jax,Ban,2
53601,Bilibili Gaming,Rakan,Ban,3
53601,Gen.G eSports,Neeko,Ban,4
53601,Bilibili Gaming,Poppy,Ban,5
53601,Gen.G eSports,Kalista,Ban,6
53601,Bilibili Gaming,Rumble,Pick,7
53601,Gen.G eSports,Aatrox,Pick,8
53601,Gen.G eSports,Maokai,Pick,9
53601,Bilibili Gaming,Jarvan IV,Pick,10
53601,Bilibili Gaming,Orianna,Pick,11
53601,Gen.G eSports,Azir,Pick,12
53601,Gen.G eSports,Jinx,Ban,13
53601,Bilibili Gaming,Yone,Ban,14
53601,Gen.G eSports,Ashe,Ban,15
53601,Bilibili Gaming,Akali,Ban,16
53601,Gen.G eSports,Aphelios,Pick,17
53601,Bilibili Gaming,Xayah,Pick,18
53601,Bilibili Gaming,Renata Glasc,Pick,19
53601,Gen.G eSports,Milio,Pick,20
53602,Gen.G eSports,Jax,Ban,1
53602,Bilibili Gaming,Rakan,Ban,2
53602,Gen.G eSports,Xayah,Ban,3
53602,Bilibili Gaming,Sylas,Ban,4
53602,Gen.G eSports,Renata Glasc,Ban,5
53602,Bilibili Gaming,Rumble,Ban,6
53602,Gen.G eSports,Aatrox,Pick,7
53602,Bilibili Gaming,Renekton,Pick,8
53602,Bilibili Gaming,Jarvan IV,Pick,9
53602,Gen.G eSports,Maokai,Pick,10
