Match ID,Team,Champion,Type,Order
50000,GnG Esports,Lucian,Ban,1
50000,Geekay Esports,Zeri,Ban,2
50000,GnG Esports,Annie,Ban,3
50000,Geekay Esports,Neeko,Ban,4
50000,GnG Esports,Blitzcrank,Ban,5
50000,Geekay Esports,Olaf,Ban,6
50000,GnG Esports,Renekton,Pick,7
50000,Geekay Esports,Gragas,Pick,8
50000,Geekay Esports,Vi,Pick,9
50000,GnG Esports,Maokai,Pick,10
50000,GnG Esports,Ahri,Pick,11
50000,Geekay Esports,Taliyah,Pick,12
50000,Geekay Esports,Wukong,Ban,13
50000,GnG Esports,Cassiopeia,Ban,14
50000,Geekay Esports,Kindred,Ban,15
50000,GnG Esports,Syndra,Ban,16
50000,Geekay Esports,Xayah,Pick,17
50000,GnG Esports,Aphelios,Pick,18
50000,GnG Esports,Milio,Pick,19
50000,Geekay Esports,Pyke,Pick,20
50001,Nigma Galaxy Male,Vi,Ban,1
50001,Fox Gaming,Jayce,Ban,2
50001,Nigma Galaxy Male,Maokai,Ban,3
50001,Fox Gaming,Syndra,Ban,4
50001,Nigma Galaxy Male,Milio,Ban,5
50001,Fox Gaming,Neeko,Ban,6
50001,Nigma Galaxy Male,Gwen,Pick,7
50001,Fox Gaming,KSante,Pick,8
50001,Fox Gaming,Wukong,Pick,9
50001,Nigma Galaxy Male,Kindred,Pick,10
50001,Nigma Galaxy Male,Viktor,Pick,11
50001,Fox Gaming,Veigar,Pick,12
50001,Fox Gaming,Ahri,Ban,13
50001,Nigma Galaxy Male,Azir,Ban,14
50001,Fox Gaming,Nocturne,Ban,15
50001,Nigma Galaxy Male,Karma,Ban,16
50001,Fox Gaming,Aphelios,Pick,17
50001,Nigma Galaxy Male,Zeri,Pick,18
50001,Nigma Galaxy Male,Nautilus,Pick,19
50001,Fox Gaming,Yuumi,Pick,20
50002,RA AD,Maokai,Ban,1
50002,GnG Esports,Lucian,Ban,2
50002,RA AD,Ahri,Ban,3
50002,GnG Esports,Neeko,Ban,4
50002,RA AD,Aphelios,Ban,5
50002,GnG Esports,Annie,Ban,6
50002,RA AD,Gragas,Pick,7
50002,GnG Esports,Renekton,Pick,8
50002,GnG Esports,Vi,Pick,9
50002,RA AD,Kindred,Pick,10
50002,RA AD,Azir,Pick,11
50002,GnG Esports,Akali,Pick,12
50002,GnG Esports,Gwen,Ban,13
50002,RA AD,Sion,Ban,14
50002,GnG Esports,Gnar,Ban,15
50002,RA AD,Taliyah,Ban,16
50002,GnG Esports,Xayah,Pick,17
50002,RA AD,Zeri,Pick,18
50002,RA AD,Milio,Pick,19
50002,GnG Esports,Blitzcrank,Pick,20
50004,Geekay Esports,Elise,Ban,1
50004,Triple Esports,Zeri,Ban,2
50004,Geekay Esports,Yuumi,Ban,3
50004,Triple Esports,Lucian,Ban,4
50004,Geekay Esports,Aphelios,Ban,5
50004,Triple Esports,Neeko,Ban,6
50004,Geekay Esports,Chogath,Pick,7
50004,Triple Esports,Sion,Pick,8
50004,Triple Esports,KhaZix,Pick,9
50004,Geekay Esports,Vi,Pick,10
50004,Geekay Esports,Annie,Pick,11
50004,Triple Esports,Sylas,Pick,12
50004,Triple Esports,Sett,Ban,13
50004,Geekay Esports,Maokai,Ban,14
50004,Triple Esports,Gwen,Ban,15
50004,Geekay Esports,Graves,Ban,16
50004,Triple Esports,Jinx,Pick,17
50004,Geekay Esports,Varus,Pick,18
50004,Geekay Esports,Milio,Pick,19
50004,Triple Esports,Lulu,Pick,20
50005,Anubis Gaming,KSante,Ban,1
50005,Nigma Galaxy Male,Milio,Ban,2
50005,Anubis Gaming,Syndra,Ban,3
50005,Nigma Galaxy Male,Zeri,Ban,4
50005,Anubis Gaming,Nautilus,Ban,5
50005,Nigma Galaxy Male,Neeko,Ban,6
50005,Anubis Gaming,Gnar,Pick,7
50005,Nigma Galaxy Male,Kennen,Pick,8
50005,Nigma Galaxy Male,Wukong,Pick,9
50005,Anubis Gaming,Gragas,Pick,10
50005,Anubis Gaming,Taliyah,Pick,11
50005,Nigma Galaxy Male,Orianna,Pick,12
50005,Nigma Galaxy Male,Jayce,Ban,13
50005,Anubis Gaming,Ahri,Ban,14
50005,Nigma Galaxy Male,Malphite,Ban,15
50005,Anubis Gaming,Gwen,Ban,16
50005,Nigma Galaxy Male,Xayah,Pick,17
50005,Anubis Gaming,Aphelios,Pick,18
50005,Anubis Gaming,Yuumi,Pick,19
50005,Nigma Galaxy Male,Rakan,Pick,20
50006,Nord Esports,Lucian,Ban,1
50006,Ruddy Esports,Zeri,Ban,2
50006,Nord Esports,Sejuani,Ban,3
50006,Ruddy Esports,LeBlanc,Ban,4
50006,Nord Esports,Milio,Ban,5
50006,Ruddy Esports,Yuumi,Ban,6
50006,Nord Esports,Poppy,Pick,7
50006,Ruddy Esports,Mordekaiser,Pick,8
50006,Ruddy Esports,Maokai,Pick,9
50006,Nord Esports,Wukong,Pick,10
50006,Nord Esports,Ahri,Pick,11
50006,Ruddy Esports,Yasuo,Pick,12
50006,Ruddy Esports,Vi,Ban,13
50006,Nord Esports,Darius,Ban,14
50006,Ruddy Esports,Nocturne,Ban,15
50006,Nord Esports,Gwen,Ban,16
50006,Ruddy Esports,Ezreal,Pick,17
50006,Nord Esports,Xayah,Pick,18
50006,Nord Esports,Nautilus,Pick,19
50006,Ruddy Esports,Rakan,Pick,20
50007,Nativz,Vi,Ban,1
50007,Fourth Wall,Maokai,Ban,2
50007,Nativz,Zeri,Ban,3
50007,Fourth Wall,Neeko,Ban,4
50007,Nativz,Twitch,Ban,5
50007,Fourth Wall,Milio,Ban,6
50007,Nativz,Ornn,Pick,7
50007,Fourth Wall,KSante,Pick,8
50007,Fourth Wall,Xin Zhao,Pick,9
50007,Nativz,Kindred,Pick,10
50007,Nativz,LeBlanc,Pick,11
50007,Fourth Wall,Ezreal,Pick,12
50007,Fourth Wall,Jarvan IV,Ban,13
50007,Nativz,Gragas,Ban,14
50007,Fourth Wall,Gwen,Ban,15
50007,Nativz,Wukong,Ban,16
50007,Fourth Wall,Aphelios,Pick,17
50007,Nativz,Lucian,Pick,18
50007,Nativz,Nami,Pick,19
50007,Fourth Wall,Lulu,Pick,20
50008,Vanir,Draven,Ban,1
50008,Domino Esport,Neeko,Ban,2
50008,Vanir,Kalista,Ban,3
50008,Domino Esport,Zeri,Ban,4
50008,Vanir,LeBlanc,Ban,5
50008,Domino Esport,Varus,Ban,6
50008,Vanir,Darius,Pick,7
50008,Domino Esport,Olaf,Pick,8
50008,Domino Esport,Gragas,Pick,9
50008,Vanir,Maokai,Pick,10
50008,Vanir,KSante,Pick,11
50008,Domino Esport,Akali,Pick,12
